metric,summary_run_count
Loss/latent_rollout_shuffled_action_ratio_k1,5
Loss/latent_rollout_shuffled_action_ratio_k2,5
Loss/latent_rollout_shuffled_action_ratio_k3,5
Loss/latent_rollout_shuffled_action_ratio_k4,5
Loss/latent_rollout_shuffled_action_ratio_k5,5
Loss/latent_rollout_valid_fraction,5
Loss/latent_rollout_velocity_loss,5
Loss/latent_rollout_velocity_loss_k1,5
Loss/latent_rollout_velocity_loss_k2,5
Loss/latent_rollout_velocity_loss_k3,5
Loss/latent_rollout_velocity_loss_k4,5
Loss/latent_rollout_velocity_loss_k5,5
Loss/latent_shuffled_action_loss,5
Loss/latent_shuffled_action_loss_k1,5
Loss/latent_shuffled_action_loss_k10,5
Loss/latent_shuffled_action_loss_k5,5
Loss/latent_shuffled_action_ratio,5
Loss/latent_shuffled_action_ratio_k1,5
Loss/latent_shuffled_action_ratio_k10,5
Loss/latent_shuffled_action_ratio_k5,5
Loss/learning_rate,75
Loss/lin_vel,7
Loss/representation,18
Loss/roughness,5
Loss/student,7
Loss/surrogate,75
Loss/value,75
Metrics/corridor_bad_window_frac,1
Metrics/corridor_cross_track_abs_mean,1
Metrics/corridor_excess_frac,1
Metrics/corridor_heading_error_deg_mean,1
Metrics/corridor_lag_mean,1
Metrics/corridor_termination_active,1
Metrics/corridor_termination_bad_frac,1
Metrics/landing_force_mean,75
Metrics/non_rough_forward_wheel_air_time_mean,11
Metrics/rough_air_wheel_speed_sq_mean,1
Metrics/rough_clearance_target_mean,12
Metrics/rough_contact_wheel_speed_sq_mean,1
Metrics/rough_double_contact_mean,26
Metrics/rough_no_contact_mean,26
Metrics/rough_single_contact_mean,26
Metrics/rough_wheel_foot_about_landing_mean,1
Metrics/rough_wheel_foot_clearance_mean,37
Metrics/rough_wheel_foot_clearance_target_mean,37
Metrics/roughness_curvature_over_R_mean,11
Metrics/roughness_gate_threshold,11
Metrics/roughness_gate_threshold_schedule_progress,11
Metrics/roughness_jump_over_R_mean,49
Metrics/roughness_lambda_mean,49
Metrics/roughness_left_mean,22
Metrics/roughness_max_mean,49
Metrics/roughness_mean,27
Metrics/roughness_range_over_R_mean,38
Metrics/roughness_right_mean,22
Metrics/roughness_std_over_R_mean,38
Metrics/standing_forward_wheel_air_time_mean,11
Metrics/standing_wheel_air_time_mean,11
Metrics/twist/error_vel_xy,75
Metrics/twist/error_vel_yaw,75
Metrics/velocity_direction_deviation_active,15
Metrics/velocity_direction_deviation_angle_mean,15
Metrics/velocity_direction_deviation_bad_frac,15
Metrics/velocity_error_delta_mean,1
Metrics/wheel_air_time_balance_cost_mean,17
Metrics/wheel_air_time_diff_mean,5
Metrics/wheel_episode_air_time_diff_mean,12
Metrics/wheel_episode_air_time_imbalance_ratio_mean,12
Metrics/wheel_episode_air_time_left_mean,12
Metrics/wheel_episode_air_time_right_mean,12
Metrics/world_command_tracking_active,5
Metrics/world_command_tracking_airborne_frac,5
Metrics/world_command_tracking_direction_angle_mean,5
Metrics/world_command_tracking_direction_bad_frac,5
Metrics/world_command_tracking_heading_bad_frac,5
Metrics/world_command_tracking_heading_error_deg_mean,5
Metrics/world_command_tracking_progress_bad_frac,5
Metrics/world_command_tracking_progress_deficit_mean,5
Metrics/world_course_deviation_active,1
Metrics/world_course_deviation_angle_mean,1
Metrics/world_course_deviation_bad_frac,1
Metrics/world_course_heading_active_frac,1
Metrics/world_course_heading_error_mean,1
Metrics/world_course_lateral_deviation_mean,1
Metrics/world_velocity_direction_active_frac,1
Metrics/world_velocity_direction_angle_mean,1
Perf/collection_time,75
Perf/learning_time,75
Perf/total_fps,75
Policy/mean_std,75
Train/mean_episode_length,75
Train/mean_reward,75
Update/joint_step_fraction,5
Update/policy_kl_joint,5
Update/policy_kl_ppo_only,5
Update/privileged_encoder_norm_joint,5
Update/privileged_encoder_norm_ppo_only,5
_runtime,76
_step,75
_timestamp,75
_wandb,76
video,1
